topicId,rank,docId,filename
1,55,163,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\slow.txt
1,56,162,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\size_3.txt
1,57,161,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\size_2.txt
1,58,160,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\size_1.txt
1,59,159,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\size9.txt
1,60,158,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\size8.txt
1,61,156,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\size6.txt
1,62,155,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\size5.txt
1,63,154,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\size4.txt
1,64,153,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\size3.txt
1,65,152,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\size1.txt
1,66,151,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\size.txt
1,67,150,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\sim.txt
1,68,149,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\signals3.txt
1,69,148,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\signals2.txt
1,70,147,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\signals1.txt
1,71,146,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\signals.txt
1,72,145,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\signal.txt
1,73,144,C:\Users\sony\Desktop\LDA_PAPER\LDA_IMPLEMENTATION\Input_Docs\shape1.txt
